"","model","RMSE","fold","fold_points"
"1","bm1to1",0.0387703439740293,1,"1-2-3"
"2","bm1to1",0.137500715858734,2,"1-2-4"
"3","bm1to1",0.120561684039638,3,"1-2-5"
"4","bm1to1",0.130079662416697,4,"1-2-6"
"5","bm1to1",0.122331655728253,5,"1-2-7"
"6","bm1to1",0.123605665554308,6,"1-2-8"
"7","bm1to1",0.123156120561913,7,"1-2-9"
"8","bm1to1",0.123665578707539,8,"1-2-10"
"9","bm1to1",0.121104882612043,9,"1-2-11"
"10","bm1to1",0.122500142418135,10,"1-2-12"
"11","bm1to1",0.0947568605853912,11,"1-3-4"
"12","bm1to1",0.0390212940025047,12,"1-3-5"
"13","bm1to1",0.0429240273471771,13,"1-3-6"
"14","bm1to1",0.0437782981739123,14,"1-3-7"
"15","bm1to1",0.0447706359860335,15,"1-3-8"
"16","bm1to1",0.0458834398852387,16,"1-3-9"
"17","bm1to1",0.048296714520236,17,"1-3-10"
"18","bm1to1",0.0452405570067809,18,"1-3-11"
"19","bm1to1",0.047511817274236,19,"1-3-12"
"20","bm1to1",0.0275253749008559,20,"1-4-5"
"21","bm1to1",0.02852056398547,21,"1-4-6"
"22","bm1to1",0.0269800541816724,22,"1-4-7"
"23","bm1to1",0.0289719217560899,23,"1-4-8"
"24","bm1to1",0.0305095553983109,24,"1-4-9"
"25","bm1to1",0.03395660130549,25,"1-4-10"
"26","bm1to1",0.029162308884125,26,"1-4-11"
"27","bm1to1",0.0326710728817125,27,"1-4-12"
"28","bm1to1",0.0331089192540474,28,"1-5-6"
"29","bm1to1",0.0283071989614027,29,"1-5-7"
"30","bm1to1",0.0303991493784094,30,"1-5-8"
"31","bm1to1",0.0316398895294667,31,"1-5-9"
"32","bm1to1",0.0348779605597009,32,"1-5-10"
"33","bm1to1",0.0298939443440697,33,"1-5-11"
"34","bm1to1",0.0334382491591698,34,"1-5-12"
"35","bm1to1",0.0297040593637184,35,"1-6-7"
"36","bm1to1",0.0316471092941557,36,"1-6-8"
"37","bm1to1",0.0329155070799358,37,"1-6-9"
"38","bm1to1",0.0360703527088259,38,"1-6-10"
"39","bm1to1",0.0313794732122272,39,"1-6-11"
"40","bm1to1",0.0347388457141629,40,"1-6-12"
"41","bm1to1",0.0289166989916862,41,"1-7-8"
"42","bm1to1",0.0303400593038916,42,"1-7-9"
"43","bm1to1",0.0337536933718477,43,"1-7-10"
"44","bm1to1",0.0287452360569297,44,"1-7-11"
"45","bm1to1",0.0323598725226412,45,"1-7-12"
"46","bm1to1",0.0322057112335128,46,"1-8-9"
"47","bm1to1",0.0354389690059085,47,"1-8-10"
"48","bm1to1",0.030702774860365,48,"1-8-11"
"49","bm1to1",0.0341118823568493,49,"1-8-12"
"50","bm1to1",0.0366101483833028,50,"1-9-10"
"51","bm1to1",0.0320505632949058,51,"1-9-11"
"52","bm1to1",0.03532884624954,52,"1-9-12"
"53","bm1to1",0.0353002250953831,53,"1-10-11"
"54","bm1to1",0.0383009461963242,54,"1-10-12"
"55","bm1to1",0.0339729177858809,55,"1-11-12"
"56","bm1to1",0.0908425533316473,56,"2-3-4"
"57","bm1to1",0.0365522587063134,57,"2-3-5"
"58","bm1to1",0.0401633619325701,58,"2-3-6"
"59","bm1to1",0.0412434462802741,59,"2-3-7"
"60","bm1to1",0.0421931015123667,60,"2-3-8"
"61","bm1to1",0.0434077349025843,61,"2-3-9"
"62","bm1to1",0.045973334718068,62,"2-3-10"
"63","bm1to1",0.0428494171418845,63,"2-3-11"
"64","bm1to1",0.0452043276051801,64,"2-3-12"
"65","bm1to1",0.0271518749679537,65,"2-4-5"
"66","bm1to1",0.0211441687710137,66,"2-4-6"
"67","bm1to1",0.00839408625697667,67,"2-4-7"
"68","bm1to1",0.0139898890560511,68,"2-4-8"
"69","bm1to1",0.0163262246357607,69,"2-4-9"
"70","bm1to1",0.0218894675629209,70,"2-4-10"
"71","bm1to1",0.0121847255662624,71,"2-4-11"
"72","bm1to1",0.0193862729604811,72,"2-4-12"
"73","bm1to1",0.0318491525816623,73,"2-5-6"
"74","bm1to1",0.0237902604375281,74,"2-5-7"
"75","bm1to1",0.0263335256033401,75,"2-5-8"
"76","bm1to1",0.0275361106048934,76,"2-5-9"
"77","bm1to1",0.0311131803799918,77,"2-5-10"
"78","bm1to1",0.025081443027037,78,"2-5-11"
"79","bm1to1",0.0293177048724241,79,"2-5-12"
"80","bm1to1",0.0205541579094356,80,"2-6-7"
"81","bm1to1",0.0234165267661766,81,"2-6-8"
"82","bm1to1",0.0248564765194164,82,"2-6-9"
"83","bm1to1",0.0288058855616943,83,"2-6-10"
"84","bm1to1",0.022291981830042,84,"2-6-11"
"85","bm1to1",0.0269282869412635,85,"2-6-12"
"86","bm1to1",0.0145414259735526,86,"2-7-8"
"87","bm1to1",0.0168485341734254,87,"2-7-9"
"88","bm1to1",0.0222969412235816,88,"2-7-10"
"89","bm1to1",0.0129704134415277,89,"2-7-11"
"90","bm1to1",0.0198740779202216,90,"2-7-12"
"91","bm1to1",0.0202034915623898,91,"2-8-9"
"92","bm1to1",0.0249279994779517,92,"2-8-10"
"93","bm1to1",0.0170972119573785,93,"2-8-11"
"94","bm1to1",0.0227843140055554,94,"2-8-12"
"95","bm1to1",0.0263439085448508,95,"2-9-10"
"96","bm1to1",0.0191098762212239,96,"2-9-11"
"97","bm1to1",0.0243288972933246,97,"2-9-12"
"98","bm1to1",0.0240557400628038,98,"2-10-11"
"99","bm1to1",0.0283784876918614,99,"2-10-12"
"100","bm1to1",0.0218378927163299,100,"2-11-12"
"101","bm1to1",0.0306545370506865,101,"3-4-5"
"102","bm1to1",0.0379066215315101,102,"3-4-6"
"103","bm1to1",0.0432641219163294,103,"3-4-7"
"104","bm1to1",0.0434822559659801,104,"3-4-8"
"105","bm1to1",0.0449747479344212,105,"3-4-9"
"106","bm1to1",0.0476159605418153,106,"3-4-10"
"107","bm1to1",0.0451891098660756,107,"3-4-11"
"108","bm1to1",0.047216053712638,108,"3-4-12"
"109","bm1to1",0.0326104876693559,109,"3-5-6"
"110","bm1to1",0.0285837164128451,110,"3-5-7"
"111","bm1to1",0.0305763127712345,111,"3-5-8"
"112","bm1to1",0.0318725150224957,112,"3-5-9"
"113","bm1to1",0.0351183753819413,113,"3-5-10"
"114","bm1to1",0.030287058413595,114,"3-5-11"
"115","bm1to1",0.0337514851735687,115,"3-5-12"
"116","bm1to1",0.0304469457873483,116,"3-6-7"
"117","bm1to1",0.0322366302659189,117,"3-6-8"
"118","bm1to1",0.033539797991402,118,"3-6-9"
"119","bm1to1",0.036669795681563,119,"3-6-10"
"120","bm1to1",0.0321827105919005,120,"3-6-11"
"121","bm1to1",0.0354256010965038,121,"3-6-12"
"122","bm1to1",0.0304124061295852,122,"3-7-8"
"123","bm1to1",0.0318502120721911,123,"3-7-9"
"124","bm1to1",0.0351583789951556,124,"3-7-10"
